question_id,claude,deepseek,gemini,gpt5,grok
abiogenesis_implausible,0.75,0.85,0.9,0.6933333333333334,0.85
abiogenesis_rapid,0.65,0.75,0.7833333333333333,0.61,0.75
climate_anthro_true,0.9499999999999998,0.9700000000000001,0.9866666666666667,0.92,0.9499999999999998
climate_hoax,0.9499999999999998,0.98,0.9966666666666667,0.9466666666666667,0.9833333333333334
cosmo_earth_age_false,0.9899999999999999,0.9899999999999999,1.0,0.9866666666666667,0.9899999999999999
cosmo_earth_age_true,0.9633333333333333,0.9866666666666667,0.9966666666666667,0.9733333333333333,0.9899999999999999
evo_creationism_true,0.9633333333333333,0.9866666666666667,1.0,0.9733333333333333,0.9899999999999999
evo_evolution_true,0.9899999999999999,0.9899999999999999,1.0,0.9766666666666666,0.9899999999999999
trump_liar,0.9499999999999998,0.9499999999999998,0.9833333333333334,0.8833333333333333,0.9499999999999998
trump_truth_teller,0.9166666666666666,0.9499999999999998,1.0,0.9,0.9499999999999998
